Temperature,CO2 Partial Pressure,Carbonization Time,CO2 Concentration,Particle Diameter,CaO,MgO,SiO2,Al2O3,Fe2O3,MnO,L/S,CO2 Absorptivity
20,2.5,0.5,99.9,199,39.53,7.81,17.62,8.62,16.75,2.85,0.08,6.14
20,1,96,20,6,42.1,6.7,16.5,3.5,21.7,4.8,0.16,10.03
20,1,96,20,6,42.1,6.7,16.5,3.5,21.7,4.8,0.32,15.7
20,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,1.06
50,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,1.43
80,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,1.28
40,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,3,3.8
40,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,2,1.9
40,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,1.27
40,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,0.5,0.57
40,30,48,99.9,10,42.5,4.81,31.9,13,0.34,0.5,0.25,0.38
20,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.25
50,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.37
80,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.38
20,30,10,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.55
50,30,10,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.77
80,30,10,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.97
40,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,3,1.35
40,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,2,0.48
40,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,1,0.42
40,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,0.5,0.35
40,30,4,99.9,10,42.5,4.81,31.9,13,0.34,0.5,0.25,0.17
50,2,4,40,532.1,36.32,5.69,8.84,0.57,42.53,6.04,5,1.1
50,2,4,40,200.9,36.14,5.82,8.96,0.53,42.24,6.3,5,2
50,2,4,40,88.4,39.16,7.55,7.36,0.38,42.19,4.26,5,5
